Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)"
February,2022,"HPCL-VISAKH,ANDHRA PRADESH",761.00
February,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1010.00
February,2022,"RIL TOTAL",4790.00
March,2022,"IOCL-HALDIA, WEST BENGAL",747.00
March,2022,"BPCL-MUMBAI, MAHARASHTRA",1268.00
March,2022,"BPCL-KOCHI, KERALA",1522.00
March,2022,"RIL TOTAL",5129.00
March,2022,"NEL-VADINAR,GUJARAT",1690.00
April,2020,"IOCL-DIGBOI,ASSAM",54.00
April,2020,"IOCL TOTAL",3046.00
April,2020,"CPCL-MANALI, TAMILNADU",308.00
April,2020,CPCL-TOTAL,308.00
April,2020,"BPCL-KOCHI, KERALA",815.00
April,2020,"RIL,JAMNAGAR,GUJARAT",2792.00
April,2020,"NEL-VADINAR,GUJARAT",1402.00
May,2020,"IOCL-HALDIA, WEST BENGAL",319.00
May,2020,"BPCL-MUMBAI, MAHARASHTRA",907.00
May,2020,"BPCL-KOCHI, KERALA",676.00
May,2020,BORL-BINA,440.00
May,2020,BPCL-TOTAL,2229.00
May,2020,"ONGC TOTAL",572.00
May,2020,"HMEL-GGSR, BATHINDA, PUNJAB",653.00
May,2020,"NEL-VADINAR,GUJARAT",1561.00
June,2020,"IOCL-PANIPAT, HARYANA",1173.00
June,2020,CPCL-TOTAL,579.00
June,2020,"BPCL-MUMBAI, MAHARASHTRA",972.00
June,2020,"MRPL-MANGALORE,KARNATAKA",627.00
June,2020,"HPCL-MUMBAI,MAHARASHTRA",654.00
June,2020,"RIL TOTAL",4652.00
June,2020,"GRAND TOTAL",17537.00
July,2020,"IOCL-KOYALI, GUJARAT",1092.00
July,2020,"IOCL-GUWAHATI,ASSAM",87.00
July,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.00
July,2020,"HPCL-MUMBAI,MAHARASHTRA",637.00
July,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1035.00
July,2020,"RIL TOTAL",4299.00
August,2020,"IOCL-MATHURA, UTTAR PRADESH",641.00
August,2020,"HPCL-VISAKH,ANDHRA PRADESH",651.00
August,2020,"RIL,JAMNAGAR,GUJARAT",3021.00
August,2020,"GRAND TOTAL",16150.00
